DATE,CES0500000003,AHETPI,CPIAUCSL
2013-06-01,23.96,20.12,232.445
2013-07-01,23.98,20.14,232.900
2013-08-01,24.02,20.18,233.456
2013-09-01,24.06,20.23,233.544
2013-10-01,24.09,20.25,233.669
2013-11-01,24.16,20.30,234.100
2013-12-01,24.18,20.35,234.719
2014-01-01,24.23,20.39,235.288
2014-02-01,24.33,20.51,235.547
2014-03-01,24.32,20.50,236.028
2014-04-01,24.34,20.51,236.468
2014-05-01,24.40,20.54,236.918
2014-06-01,24.46,20.59,237.231
2014-07-01,24.48,20.61,237.498
2014-08-01,24.54,20.66,237.460
2014-09-01,24.55,20.67,237.477
2014-10-01,24.58,20.70,237.430
2014-11-01,24.66,20.77,236.983
2014-12-01,24.62,20.71,236.252
2015-01-01,24.75,20.80,234.747
2015-02-01,24.79,20.84,235.342
2015-03-01,24.86,20.91,235.976
2015-04-01,24.89,20.92,236.222
2015-05-01,24.97,20.98,237.001
2015-06-01,24.97,21.01,237.657
2015-07-01,25.00,21.03,238.034
2015-08-01,25.09,21.10,238.033
2015-09-01,25.11,21.09,237.498
2015-10-01,25.19,21.19,237.733
2015-11-01,25.25,21.21,238.017
2015-12-01,25.24,21.23,237.761
2016-01-01,25.38,21.31,237.652
2016-02-01,25.38,21.33,237.336
2016-03-01,25.45,21.39,238.080
2016-04-01,25.53,21.46,238.992
2016-05-01,25.58,21.47,239.557
2016-06-01,25.62,21.52,240.222
2016-07-01,25.69,21.58,240.101
2016-08-01,25.72,21.60,240.545
2016-09-01,25.77,21.63,241.176
2016-10-01,25.89,21.71,241.741
2016-11-01,25.90,21.71,242.026
2016-12-01,25.92,21.76,242.637
2017-01-01,26.00,21.81,243.618
2017-02-01,26.06,21.84,244.006
2017-03-01,26.11,21.88,243.892
2017-04-01,26.17,21.94,244.193
2017-05-01,26.21,21.96,244.004
2017-06-01,26.26,22.02,244.163
2017-07-01,26.36,22.08,244.243
2017-08-01,26.38,22.11,245.183
2017-09-01,26.49,22.18,246.435
2017-10-01,26.49,22.18,246.626
2017-11-01,26.52,22.22,247.284
2017-12-01,26.61,22.30,247.805
2018-01-01,26.73,22.38,248.859
2018-02-01,26.75,22.42,249.529
2018-03-01,26.86,22.50,249.577
2018-04-01,26.92,22.54,250.227
2018-05-01,26.98,22.59,250.792
2018-06-01,27.03,22.66,251.018
2018-07-01,27.09,22.70,251.214
2018-08-01,27.20,22.77,251.663
2018-09-01,27.32,22.84,252.182
2018-10-01,27.36,22.90,252.772
2018-11-01,27.44,23.00,252.594
2018-12-01,27.56,23.11,252.767
2019-01-01,27.59,23.15,252.718
2019-02-01,27.70,23.22,253.322
2019-03-01,27.79,23.31,254.202
2019-04-01,27.76,23.32,255.211
2019-05-01,27.86,23.40,255.290
2019-06-01,27.94,23.45,255.159
2019-07-01,28.02,23.53,255.685
2019-08-01,28.13,23.62,256.059
2019-09-01,28.17,23.67,256.511
2019-10-01,28.24,23.75,257.244
2019-11-01,28.35,23.83,257.803
2019-12-01,28.37,23.84,258.616
2020-01-01,28.43,23.91,259.037
2020-02-01,28.55,24.03,259.248
2020-03-01,28.80,24.20,258.124
2020-04-01,30.01,25.14,256.092
2020-05-01,29.72,24.98,255.868
2020-06-01,29.37,24.78,256.986
2020-07-01,29.39,24.67,258.278
2020-08-01,29.48,24.81,259.411
2020-09-01,29.52,24.80,260.029
2020-10-01,29.54,24.84,260.286
2020-11-01,29.64,24.94,260.813
2020-12-01,29.92,25.16,262.035
2021-01-01,29.92,25.17,262.650
2021-02-01,30.05,25.26,263.638
2021-03-01,30.05,25.35,264.914
2021-04-01,30.20,25.51,266.670
2021-05-01,30.38,25.67,268.444
2021-06-01,30.53,25.81,270.559
2021-07-01,30.66,25.94,271.764
2021-08-01,30.78,26.12,272.870
2021-09-01,30.96,26.29,274.028
2021-10-01,31.14,26.44,276.522
2021-11-01,31.24,26.57,278.711
2021-12-01,31.42,26.76,280.887
2022-01-01,31.63,26.88,282.599
2022-02-01,31.63,26.98,284.610
2022-03-01,31.83,27.12,287.472
2022-04-01,31.94,27.27,288.611
2022-05-01,32.06,27.39,291.268
2022-06-01,32.18,27.53,294.728
2022-07-01,32.33,27.64,294.628
2022-08-01,32.43,27.75,295.320
2022-09-01,32.53,27.85,296.539
2022-10-01,32.66,27.96,297.987
2022-11-01,32.80,28.09,298.598
2022-12-01,32.92,28.21,298.990
2023-01-01,33.02,28.29,300.536
2023-02-01,33.11,28.41,301.648
2023-03-01,33.20,28.52,301.808
2023-04-01,33.34,28.61,302.918
2023-05-01,33.46,28.72,303.294
2023-06-01,33.58,28.83,303.841
